Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Lorch Riesling 2016,Germany,Rheingau,August Kesseler,4.0,29,16.5,2016,White,49.988934,7.866159
Pouilly-FuissÃ© Pentacrine 2016,France,Pouilly-FuissÃ©,Domaine Saumaize-Michelin,4.0,29,24.08,2016,White,46.3113586,4.7159852
Ungeheuer GG 2018,Germany,Pfalz,Von Winning,4.3,29,34.0,2018,White,49.4106226,8.1863799
Beaune 1er Cru GrÃ¨ves Blanc 2011,France,Beaune 1er Cru 'Les GrÃ¨ves',Jean-Marc Morey,4.3,30,48.43,2011,White,46.9380673,4.7313782
Nuat 2015,Spain,Pla de Bages,Abadal,4.1,30,23.3,2015,White,41.8184631,1.9791708
AlbariÃ±o 2019,Spain,RÃ­as Baixas,Pazo SeÃ±orans,4.1,30,11.95,2019,White,42.5471983,-8.708844
Illusion Eins (Blanc de Noir) 2019,Germany,Ahr,Meyer - NÃ¤kel,4.0,30,13.48,2019,White,50.5361439,7.0442558
Doosberg Riesling Trocken 2017,Germany,Rheingau,Peter Jakob KÃ¼hn,4.1,30,49.0,2017,White,50.01094,8.02121
Trarbacher Schlossberg Riesling Kabinett 2018,Germany,Mosel,Weiser-KÃ¼nstler,4.2,30,15.0,2018,White,49.9522315,7.1122888
Wicker Nonnberg Riesling Trocken 2018,Germany,Rheingau,Joachim Flick,4.0,30,13.84,2018,White,50.0256932,8.397109
Meursault 2016,France,Meursault,Domaine Henri Delagrange et Fils,4.2,30,46.21,2016,White,47.0063605,4.7761406
Quater Vitis Blanco 2018,Italy,Terre Siciliane,Firriato,4.1,30,13.89,2018,White,38.1129343,15.1110949
Pouilly-FuissÃ© 2016,France,Pouilly-FuissÃ©,Les HÃ©ritiers du Comte Lafon,4.1,30,56.83,2016,White,46.3500686,4.6962686
Elgin Chardonnay 2018,South Africa,Elgin,Boschendal,4.3,30,32.99,2018,White,-33.8774894,18.9727309
Blanc 2016,France,CÃ´tes Catalanes,Domaine de l'Horizon,4.1,30,35.58,2016,White,42.7490171,2.6777274
Zieregg Morillon 2017,Austria,SÃ¼dsteiermark,Tement,4.1,31,48.06,2017,White,46.6861778,15.6125406
Sanct Valentin Sauvignon 2019,Italy,SÃ¼dtirol - Alto Adige,St. Michael-Eppan,4.1,31,20.9,2019,White,46.4560767,11.2623877
Cavalcade Blanc 2018,France,CÃ´tes du Roussillon,ChÃ¢teau de Corneilla,4.1,31,12.14,2018,White,42.6254321,2.9487442
Scharzhofberger Riesling SpÃ¤tlese 2011,Germany,Mosel,BischÃ¶fliche WeingÃ¼ter Trier,4.1,31,30.78,2011,White,49.7515342,6.6399687
CuvÃ©e Verdejo 2016,Spain,Rueda,Valdecuevas,4.2,31,18.7,2016,White,41.393648,-4.980755
Meursault 1er Cru Les GenevriÃ¨res 2017,France,Meursault Premier Cru,Domaine Henri Boillot,4.1,31,119.0,2017,White,46.9686198,4.7971731
Tresolmos Lias Verdejo 2019,Spain,Rueda,Garciarevalo,4.0,31,8.84,2019,White,41.4119523,-4.7921423
Felsenberg Riesling GG 2016,Germany,Nahe,SchÃ¤fer-FrÃ¶hlich,4.3,31,39.36,2016,White,49.8376011,7.6809546
Op die Berg Chardonnay 2014,South Africa,Durbanville,De Grendel,4.1,31,26.69,2014,White,-33.851365,18.571616
Maximin Herrenberg 1896 Riesling Alte Reben 2018,Germany,Mosel,Carl Loewen,4.1,31,22.23,2018,White,49.820941,6.8760936
Oppenheimer SacktrÃ¤ger Riesling 2017,Germany,Rheinhessen,Weingut BÃ¼rgermeister Carl Koch,4.1,32,10.23,2017,White,49.8494825,8.3538873
Blauschiefer Trocken 2018,Germany,Mosel,Carl Loewen,4.0,32,9.69,2018,White,49.820941,6.8760936
